﻿RegionID,RegionName,SizeRank,Date,Tier,ZHVI,YoY
"102,001",United States,0,7/31/03,Median Home Values,"$149,700 ",0.068522484
"102,001",United States,0,8/31/03,Median Home Values,"$150,600 ",0.069602273
"102,001",United States,0,9/30/03,Median Home Values,"$151,600 ",0.071378092
"102,001",United States,0,10/31/03,Median Home Values,"$152,600 ",0.072382291
"102,001",United States,0,11/30/03,Median Home Values,"$153,800 ",0.074022346
"102,001",United States,0,12/31/03,Median Home Values,"$154,900 ",0.075694444
"102,001",United States,0,1/31/04,Median Home Values,"$156,100 ",0.078038674
"102,001",United States,0,2/29/04,Median Home Values,"$157,400 ",0.081786942
"102,001",United States,0,3/31/04,Median Home Values,"$158,700 ",0.085499316
"102,001",United States,0,4/30/04,Median Home Values,"$160,100 ",0.088375255
"102,001",United States,0,5/31/04,Median Home Values,"$161,600 ",0.092630156
"102,001",United States,0,6/30/04,Median Home Values,"$163,100 ",0.096102151
"102,001",United States,0,7/31/04,Median Home Values,"$164,800 ",0.100868403
"102,001",United States,0,8/31/04,Median Home Values,"$166,400 ",0.104913679
"102,001",United States,0,9/30/04,Median Home Values,"$167,900 ",0.107519789
"102,001",United States,0,10/31/04,Median Home Values,"$169,300 ",0.109436435
"102,001",United States,0,11/30/04,Median Home Values,"$170,700 ",0.109882965
"102,001",United States,0,12/31/04,Median Home Values,"$172,000 ",0.110393802
"102,001",United States,0,1/31/05,Median Home Values,"$173,200 ",0.109545163
"102,001",United States,0,2/28/05,Median Home Values,"$174,400 ",0.108005083
"102,001",United States,0,3/31/05,Median Home Values,"$175,700 ",0.107120353
"102,001",United States,0,4/30/05,Median Home Values,"$177,100 ",0.106183635
"102,001",United States,0,5/31/05,Median Home Values,"$178,700 ",0.105816832
"102,001",United States,0,6/30/05,Median Home Values,"$180,300 ",0.105456775
"102,001",United States,0,7/31/05,Median Home Values,"$182,000 ",0.104368932
"102,001",United States,0,8/31/05,Median Home Values,"$183,700 ",0.103966346
"102,001",United States,0,9/30/05,Median Home Values,"$185,300 ",0.103633115
"102,001",United States,0,10/31/05,Median Home Values,"$186,800 ",0.103366804
"102,001",United States,0,11/30/05,Median Home Values,"$188,200 ",0.102519039
"102,001",United States,0,12/31/05,Median Home Values,"$189,600 ",0.102325581
"102,001",United States,0,1/31/06,Median Home Values,"$190,900 ",0.102193995
"102,001",United States,0,2/28/06,Median Home Values,"$192,100 ",0.101490826
"102,001",United States,0,3/31/06,Median Home Values,"$193,300 ",0.100170746
"102,001",United States,0,4/30/06,Median Home Values,"$194,500 ",0.098249577
"102,001",United States,0,5/31/06,Median Home Values,"$195,500 ",0.094012311
"102,001",United States,0,6/30/06,Median Home Values,"$196,600 ",0.090404881
"102,001",United States,0,7/31/06,Median Home Values,"$197,500 ",0.085164835
"102,001",United States,0,8/31/06,Median Home Values,"$198,200 ",0.078933043
"102,001",United States,0,9/30/06,Median Home Values,"$198,700 ",0.072315165
"102,001",United States,0,10/31/06,Median Home Values,"$199,100 ",0.065845824
"102,001",United States,0,11/30/06,Median Home Values,"$199,300 ",0.058979809
"102,001",United States,0,12/31/06,Median Home Values,"$199,500 ",0.05221519
"102,001",United States,0,1/31/07,Median Home Values,"$199,700 ",0.046097433
"102,001",United States,0,2/28/07,Median Home Values,"$199,900 ",0.040603852
"102,001",United States,0,3/31/07,Median Home Values,"$200,100 ",0.035178479
"102,001",United States,0,4/30/07,Median Home Values,"$200,400 ",0.03033419
"102,001",United States,0,5/31/07,Median Home Values,"$200,500 ",0.025575448
"102,001",United States,0,6/30/07,Median Home Values,"$200,000 ",0.017293998
"102,001",United States,0,7/31/07,Median Home Values,"$199,200 ",0.008607595
"102,001",United States,0,8/31/07,Median Home Values,"$198,400 ",0.001009082
"102,001",United States,0,9/30/07,Median Home Values,"$197,700 ",-0.005032713
"102,001",United States,0,10/31/07,Median Home Values,"$196,700 ",-0.012054244
"102,001",United States,0,11/30/07,Median Home Values,"$195,700 ",-0.018063221
"102,001",United States,0,12/31/07,Median Home Values,"$194,600 ",-0.024561404
"102,001",United States,0,1/31/08,Median Home Values,"$193,300 ",-0.032048072
"102,001",United States,0,2/29/08,Median Home Values,"$191,900 ",-0.04002001
"102,001",United States,0,3/31/08,Median Home Values,"$190,400 ",-0.048475762
"102,001",United States,0,4/30/08,Median Home Values,"$188,800 ",-0.057884232
"102,001",United States,0,5/31/08,Median Home Values,"$187,000 ",-0.067331671
"102,001",United States,0,6/30/08,Median Home Values,"$185,100 ",-0.0745
"102,001",United States,0,7/31/08,Median Home Values,"$183,400 ",-0.079317269
"102,001",United States,0,8/31/08,Median Home Values,"$181,700 ",-0.084173387
"102,001",United States,0,9/30/08,Median Home Values,"$180,000 ",-0.08952959
"102,001",United States,0,10/31/08,Median Home Values,"$178,500 ",-0.09252669
"102,001",United States,0,11/30/08,Median Home Values,"$177,000 ",-0.09555442
"102,001",United States,0,12/31/08,Median Home Values,"$175,600 ",-0.097636177
"102,001",United States,0,1/31/09,Median Home Values,"$174,300 ",-0.098292809
"102,001",United States,0,2/28/09,Median Home Values,"$173,000 ",-0.098488796
"102,001",United States,0,3/31/09,Median Home Values,"$171,600 ",-0.098739496
"102,001",United States,0,4/30/09,Median Home Values,"$170,100 ",-0.09904661
"102,001",United States,0,5/31/09,Median Home Values,"$168,500 ",-0.098930481
"102,001",United States,0,6/30/09,Median Home Values,"$166,800 ",-0.098865478
"102,001",United States,0,7/31/09,Median Home Values,"$165,700 ",-0.09651036
"102,001",United States,0,8/31/09,Median Home Values,"$164,800 ",-0.093010457
"102,001",United States,0,9/30/09,Median Home Values,"$164,000 ",-0.088888889
"102,001",United States,0,10/31/09,Median Home Values,"$163,400 ",-0.084593838
"102,001",United States,0,11/30/09,Median Home Values,"$163,100 ",-0.078531073
"102,001",United States,0,12/31/09,Median Home Values,"$163,000 ",-0.071753986
"102,001",United States,0,1/31/10,Median Home Values,"$163,000 ",-0.064830752
"102,001",United States,0,2/28/10,Median Home Values,"$163,200 ",-0.056647399
"102,001",United States,0,3/31/10,Median Home Values,"$162,800 ",-0.051282051
"102,001",United States,0,4/30/10,Median Home Values,"$161,900 ",-0.048206937
"102,001",United States,0,5/31/10,Median Home Values,"$161,400 ",-0.042136499
"102,001",United States,0,6/30/10,Median Home Values,"$161,400 ",-0.032374101
"102,001",United States,0,7/31/10,Median Home Values,"$160,900 ",-0.028968014
"102,001",United States,0,8/31/10,Median Home Values,"$160,100 ",-0.028519417
"102,001",United States,0,9/30/10,Median Home Values,"$159,200 ",-0.029268293
"102,001",United States,0,10/31/10,Median Home Values,"$158,300 ",-0.03121175
"102,001",United States,0,11/30/10,Median Home Values,"$157,600 ",-0.033721643
"102,001",United States,0,12/31/10,Median Home Values,"$156,600 ",-0.039263804
"102,001",United States,0,1/31/11,Median Home Values,"$155,300 ",-0.047239264
"102,001",United States,0,2/28/11,Median Home Values,"$154,300 ",-0.054534314
"102,001",United States,0,3/31/11,Median Home Values,"$153,500 ",-0.057125307
"102,001",United States,0,4/30/11,Median Home Values,"$152,800 ",-0.056207536
"102,001",United States,0,5/31/11,Median Home Values,"$152,200 ",-0.057001239
"102,001",United States,0,6/30/11,Median Home Values,"$151,600 ",-0.060718711
"102,001",United States,0,7/31/11,Median Home Values,"$150,900 ",-0.062150404
"102,001",United States,0,8/31/11,Median Home Values,"$150,400 ",-0.060587133
"102,001",United States,0,9/30/11,Median Home Values,"$149,900 ",-0.058417085
"102,001",United States,0,10/31/11,Median Home Values,"$149,600 ",-0.054958939
"102,001",United States,0,11/30/11,Median Home Values,"$149,400 ",-0.052030457
"102,001",United States,0,12/31/11,Median Home Values,"$149,200 ",-0.047254151
"102,001",United States,0,1/31/12,Median Home Values,"$148,800 ",-0.041854475
"102,001",United States,0,2/29/12,Median Home Values,"$148,700 ",-0.036292936
"102,001",United States,0,3/31/12,Median Home Values,"$148,800 ",-0.030618893
"102,001",United States,0,4/30/12,Median Home Values,"$149,100 ",-0.02421466
"102,001",United States,0,5/31/12,Median Home Values,"$149,500 ",-0.017739816
"102,001",United States,0,6/30/12,Median Home Values,"$149,900 ",-0.01121372
"102,001",United States,0,7/31/12,Median Home Values,"$150,300 ",-0.003976143
"102,001",United States,0,8/31/12,Median Home Values,"$150,800 ",0.002659574
"102,001",United States,0,9/30/12,Median Home Values,"$151,400 ",0.010006671
"102,001",United States,0,10/31/12,Median Home Values,"$151,900 ",0.015374332
"102,001",United States,0,11/30/12,Median Home Values,"$152,400 ",0.020080321
"102,001",United States,0,12/31/12,Median Home Values,"$153,100 ",0.02613941
"102,001",United States,0,1/31/13,Median Home Values,"$153,700 ",0.032930108
"102,001",United States,0,2/28/13,Median Home Values,"$154,300 ",0.037659718
"102,001",United States,0,3/31/13,Median Home Values,"$155,200 ",0.043010753
"102,001",United States,0,4/30/13,Median Home Values,"$156,200 ",0.047619048
"102,001",United States,0,5/31/13,Median Home Values,"$157,100 ",0.05083612
"102,001",United States,0,6/30/13,Median Home Values,"$158,100 ",0.054703135
"102,001",United States,0,7/31/13,Median Home Values,"$159,300 ",0.05988024
"102,001",United States,0,8/31/13,Median Home Values,"$160,300 ",0.062997347
"102,001",United States,0,9/30/13,Median Home Values,"$161,300 ",0.065389696
"102,001",United States,0,10/31/13,Median Home Values,"$162,200 ",0.067807768
"102,001",United States,0,11/30/13,Median Home Values,"$162,900 ",0.068897638
"102,001",United States,0,12/31/13,Median Home Values,"$163,500 ",0.067929458
"102,001",United States,0,1/31/14,Median Home Values,"$164,400 ",0.069616135
"102,001",United States,0,2/28/14,Median Home Values,"$165,000 ",0.069345431
"102,001",United States,0,3/31/14,Median Home Values,"$165,700 ",0.067654639
"102,001",United States,0,4/30/14,Median Home Values,"$166,500 ",0.065941101
"102,001",United States,0,5/31/14,Median Home Values,"$167,300 ",0.064926798
"102,001",United States,0,6/30/14,Median Home Values,"$167,900 ",0.061986085
"102,001",United States,0,7/31/14,Median Home Values,"$168,700 ",0.059008161
"102,001",United States,0,8/31/14,Median Home Values,"$169,500 ",0.057392389
"102,001",United States,0,9/30/14,Median Home Values,"$170,100 ",0.054556727
"102,001",United States,0,10/31/14,Median Home Values,"$170,600 ",0.051787916
"102,001",United States,0,11/30/14,Median Home Values,"$171,200 ",0.050951504
"102,001",United States,0,12/31/14,Median Home Values,"$171,700 ",0.050152905
